選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"安竹　俊喜","広島東洋カープ","静岡","A","2","350万円（推定）","肩の強さが売りの育成キャッチャー。ルーキーイヤーの昨季は二軍で16試合に出場。打率1割台とプロの壁にぶつかるも、貴重な実戦経験を積んだ。今季はキャンプから存在感を示し、支配下契約を勝ち取りたい。"
"山崎　太陽","東京ヤクルトスワローズ","東京","不明","1","","長身から威力のあるボールを投じるルーキー右腕。創価大では1年時に捕手から投手に転向。実績は少ないものの、伸びしろを見込まれてドラフト指名を受けた。まずは二軍で実戦経験を重ねつつ、潜在能力の高さを示したい。"
"豆田　泰志","埼玉西武ライオンズ","埼玉","B","6","750万円（推定）","強気なピッチングで打者と勝負する右腕。昨季はシーズンの大半を二軍と三軍で過ごし、9月下旬に一軍初昇格。わずか3試合の登板にとどまる悔しい1年となった。今季は春先から首脳陣にアピールし、一軍定着を目指す。"
"三浦　瑞樹","中日ドラゴンズ","神奈川","A","5","900万円（推定）","多彩な変化球を操る左腕。移籍1年目の昨季は4月に支配下登録されると、5月1日の阪神戦でプロ初勝利をマーク。最終的には7試合に先発するも、防御率4.64と悔しい結果に終わった。今季は制球力を安定させ、チームの力となりたい。"
"モンテル（日隈　モンテル）","東京ヤクルトスワローズ","沖縄","B","4","","高い身体能力を備える外野手。西武に所属した昨季は、5月に念願の支配下契約を勝ち取るも結果を残せず。オフに戦力外通告を受け、ヤクルトと育成契約を結んだ。今季は持ち前の走力と強肩を生かし、首脳陣にアピールを重ねる。"
"ラマル（ラタナヤケ　ラマル　ギービン）","埼玉西武ライオンズ","愛知","A","2","","強烈なスイングで放つ長打が魅力の育成外野手。高卒1年目の昨季は三軍で実戦経験を積み重ね、持ち前のパワーを首脳陣にアピールした。今季はさらなる鍛錬に励んでプレーの精度を高め、支配下契約に向けて前進したい。"
"Ａ．カナリオ","埼玉西武ライオンズ","ドミニカ共和国","不明","1","","豪快なスイングでボールをかっ飛ばす助っ人外野手。マイナーでは2022年に37本のアーチを描くなど、通算109本塁打をマーク。昨季はメジャーで87試合に出場した。来日1年目から持ち前の打棒を見せつけ、多くの得点を生み出す。"
"百﨑　蒼生","阪神タイガース","熊本","B","3","500万円（推定）","打撃センスが光る内野手。昨季は3、4月度のファーム月間MVPに輝くなど、打率.294をマーク。8月初旬に死球による骨折で離脱するも、前年を上回る79試合に出場した。今季は守備や走塁を磨き、一軍デビューに備える。"
"Ｊ．オスナ","東京ヤクルトスワローズ","ベネズエラ","不明","6","","昨季は141試合に出場し、来日から5年連続となる2ケタ本塁打をクリア。チームトップの67打点を記録するなど、シーズンを通して打線をけん引した。今季も自慢のパワーでアーチを描き、多くのファンを沸かせる。"
"Ａ．ワイナンス","埼玉西武ライオンズ","アメリカ","不明","1","","質の高い変化球で打者を封じる右腕。昨季はマイナーで主に先発として21試合に登板。投球回を上回る三振を奪い、12勝1敗、防御率1.63の好成績をマークした。来日1年目からローテーションの一翼を担い、チームの勝利に貢献する。"
"平良　海馬","埼玉西武ライオンズ","沖縄","O","9","30,000万円（推定）","威力のあるストレートを投げ込む右腕。昨季はクローザーを任され、シーズンを通してブルペン陣をけん引。自己最多の31セーブを挙げ、初のセーブ王に輝いた。再び先発に転向して迎える今季は、チームを上位へと導きたい。"
"佐藤　爽","埼玉西武ライオンズ","北海道","B","2","400万円（推定）","コントロールと緩急で勝負する育成左腕。ルーキーイヤーの昨季は二軍で主に先発として9試合に登板。4勝1敗、防御率2.05と安定した投球を披露した。今季も首脳陣へのアピールを続け、支配下契約を勝ち取りたい。"
"會澤　翼","広島東洋カープ","茨城","B","20","5,000万円（推定）","長年の経験を生かした配球術に定評があるベテラン捕手。昨季はシーズンのほとんどを一軍で過ごすも、出場は24試合止まり。打率.116と思うような成績を残せなかった。節目の20年目を迎える今季は、若手に負けない活躍を見せたい。"
"秋山　翔吾","広島東洋カープ","神奈川","A","14","13,000万円（推定）","類まれなバットコントロールを誇るベテラン。昨季は開幕直後に右足首を故障して戦線離脱。5月半ばに一軍へ復帰するも、その後のスタメン出場は26試合にとどまった。今季は攻守で本来のプレーを取り戻し、レギュラー奪還を目指す。"
"アドゥワ　誠","広島東洋カープ","熊本","O","10","2,900万円（推定）","小さく動く速球を操る10年目右腕。昨季は二軍で15試合に先発し、防御率4.09と満足のいく結果を残せず。一軍での登板も4試合にとどまった。今季は本来の投球を取り戻し、ローテーション争いに加わる。"
"赤木　晴哉","広島東洋カープ","大阪","O","1","","長身から角度のあるボールを投げ下ろす新人右腕。大学時代は2年時から主力として活躍。昨年は春秋ともにリーグMVPに輝き、佛教大を5季連続優勝に導いた。プロでも力強いストレートを武器に、1年目から戦力となりたい。"
"中﨑　翔太","広島東洋カープ","鹿児島","B","16","6,200万円（推定）","力強いストレートで空振りを奪うベテランリリーバー。昨季は自身7年ぶりに50試合登板をクリア。防御率2.36をマークするなど、シーズンを通してブルペンを支えた。今季もあらゆる場面でマウンドに上がり、チームの勝利に貢献する。"
"嶋村　麟士朗","阪神タイガース","高知","O","2","300万円（推定）","シャープなスイングで打球を放つ育成出身捕手。1年目の昨季は二軍で58試合に出場し、打率.266を記録。今春もキャンプからアピールを続け、開幕前に支配下契約を勝ち取った。次代の正捕手を目指し、今後も攻守にスキルを磨きたい。"
"滝田　一希","広島東洋カープ","北海道","A","3","1,000万円（推定）","変則的なフォームからキレのあるボールを投げ込む左腕。昨季は二軍で主にリリーフとして28試合に登板。防御率2.35を記録するも、制球面に課題を残した。今季はコントロールを向上させ、一軍投手陣に割って入りたい。"
"岩崎　優","阪神タイガース","静岡","B","13","20,000万円（推定）","緩急自在の投球で打者を打ち取るベテランリリーバー。昨季は5月17日に通算100セーブを達成。チーム2位タイの53試合に登板するなど、守護神としてブルペン陣を支えた。今季も変わらぬ安定感を発揮し、チームの勝利に貢献する。"
